name,short_name,easting,northing,depth,log_q_c
Jaksa_D54,D54,25,31,1.478,2.1471001901536506
Jaksa_D54,D54,25,31,1.483,2.157559320943788
Jaksa_D54,D54,25,31,1.488,2.1644717908644115
Jaksa_D54,D54,25,31,1.493,2.157559320943788
Jaksa_D54,D54,25,31,1.498,2.1400661634962708
Jaksa_D54,D54,25,31,1.503,2.134166441369082
Jaksa_D54,D54,25,31,1.508,2.128231705849268
Jaksa_D54,D54,25,31,1.513,2.124653884501384
Jaksa_D54,D54,25,31,1.518,2.1424163408412245
Jaksa_D54,D54,25,31,1.523,2.1435893615035875
Jaksa_D54,D54,25,31,1.528,2.131796772013764
Jaksa_D54,D54,25,31,1.533,2.1198634561787513
Jaksa_D54,D54,25,31,1.538,2.096790180014449
Jaksa_D54,D54,25,31,1.543,2.081938421878423
Jaksa_D54,D54,25,31,1.548,2.081938421878423
Jaksa_D54,D54,25,31,1.553,2.065596134857783
Jaksa_D54,D54,25,31,1.558,2.0412203288596382
Jaksa_D54,D54,25,31,1.563,2.028148247292285
Jaksa_D54,D54,25,31,1.568,2.0347056478384444
Jaksa_D54,D54,25,31,1.573,2.028148247292285
Jaksa_D54,D54,25,31,1.578,2.0162354657760435
Jaksa_D54,D54,25,31,1.583,2.0347056478384444
Jaksa_D54,D54,25,31,1.588,2.0095554142156695
Jaksa_D54,D54,25,31,1.593,2.0255131996542803
Jaksa_D54,D54,25,31,1.598,2.028148247292285
Jaksa_D54,D54,25,31,1.603,2.012232791986386
Jaksa_D54,D54,25,31,1.608,2.0162354657760435
Jaksa_D54,D54,25,31,1.614,1.998773638612381
Jaksa_D54,D54,25,31,1.619,1.9572739077056285
Jaksa_D54,D54,25,31,1.624,1.9213246735826988
Jaksa_D54,D54,25,31,1.629,1.8961194845522977
Jaksa_D54,D54,25,31,1.634,1.840549633397487
Jaksa_D54,D54,25,31,1.639,1.803358605071407
Jaksa_D54,D54,25,31,1.644,1.749199854809259
Jaksa_D54,D54,25,31,1.649,1.7047480922384253
Jaksa_D54,D54,25,31,1.654,1.7209792871670078
Jaksa_D54,D54,25,31,1.659,1.7011051009599243
Jaksa_D54,D54,25,31,1.664,1.7119945007591924
Jaksa_D54,D54,25,31,1.669,1.7047480922384253
Jaksa_D54,D54,25,31,1.674,1.7047480922384253
Jaksa_D54,D54,25,31,1.679,1.6992786164338898
Jaksa_D54,D54,25,31,1.684,1.7404661748405046
Jaksa_D54,D54,25,31,1.689,1.7209792871670078
Jaksa_D54,D54,25,31,1.694,1.7047480922384253
Jaksa_D54,D54,25,31,1.699,1.7387102481382397
Jaksa_D54,D54,25,31,1.704,1.7595805708638197
Jaksa_D54,D54,25,31,1.709,1.7509374747078
Jaksa_D54,D54,25,31,1.714,1.7715567619105355
Jaksa_D54,D54,25,31,1.719,1.7732559976634952
Jaksa_D54,D54,25,31,1.724,1.7595805708638197
Jaksa_D54,D54,25,31,1.729,1.803358605071407
Jaksa_D54,D54,25,31,1.734,1.7967470107390942
Jaksa_D54,D54,25,31,1.739,1.7833912195575383
Jaksa_D54,D54,25,31,1.744,1.824549292051046
Jaksa_D54,D54,25,31,1.749,1.801709800081223
Jaksa_D54,D54,25,31,1.754,1.8066480817218056
Jaksa_D54,D54,25,31,1.759,1.824549292051046
Jaksa_D54,D54,25,31,1.764,1.7984040119467235
Jaksa_D54,D54,25,31,1.769,1.814824742159051
Jaksa_D54,D54,25,31,1.774,1.803358605071407
Jaksa_D54,D54,25,31,1.779,1.7595805708638197
Jaksa_D54,D54,25,31,1.784,1.7698546338400052
Jaksa_D54,D54,25,31,1.789,1.7387102481382397
Jaksa_D54,D54,25,31,1.794,1.715598108262491
Jaksa_D54,D54,25,31,1.8,1.7101878155342434
Jaksa_D54,D54,25,31,1.805,1.6714733033535532
Jaksa_D54,D54,25,31,1.81,1.6714733033535532
Jaksa_D54,D54,25,31,1.815,1.6467336971777973
Jaksa_D54,D54,25,31,1.82,1.6448050562713916
Jaksa_D54,D54,25,31,1.825,1.589235205116581
Jaksa_D54,D54,25,31,1.83,1.5706970841176697
Jaksa_D54,D54,25,31,1.835,1.5518087995974639
Jaksa_D54,D54,25,31,1.84,1.5665304114228238
Jaksa_D54,D54,25,31,1.845,1.5665304114228238
Jaksa_D54,D54,25,31,1.85,1.5769147207285403
Jaksa_D54,D54,25,31,1.855,1.5912739418064292
Jaksa_D54,D54,25,31,1.86,1.5623463049002497
Jaksa_D54,D54,25,31,1.865,1.5830939370944985
Jaksa_D54,D54,25,31,1.87,1.5789787049493917
Jaksa_D54,D54,25,31,1.875,1.6213664832993742
Jaksa_D54,D54,25,31,1.88,1.6213664832993742
Jaksa_D54,D54,25,31,1.885,1.6351056591826783
Jaksa_D54,D54,25,31,1.89,1.6389967146756448
Jaksa_D54,D54,25,31,1.895,1.6770965609079151
Jaksa_D54,D54,25,31,1.9,1.7209792871670078
Jaksa_D54,D54,25,31,1.905,1.7011051009599243
Jaksa_D54,D54,25,31,1.91,1.728109442151599
Jaksa_D54,D54,25,31,1.915,1.7263316639055997
Jaksa_D54,D54,25,31,1.92,1.7316555451583497
Jaksa_D54,D54,25,31,1.925,1.7647307968401356
Jaksa_D54,D54,25,31,1.93,1.7698546338400052
Jaksa_D54,D54,25,31,1.935,1.7732559976634952
Jaksa_D54,D54,25,31,1.94,1.801709800081223
Jaksa_D54,D54,25,31,1.945,1.7934247485471162
Jaksa_D54,D54,25,31,1.95,1.8066480817218056
Jaksa_D54,D54,25,31,1.955,1.7984040119467235
Jaksa_D54,D54,25,31,1.96,1.7783364488959144
Jaksa_D54,D54,25,31,1.965,1.7833912195575383
Jaksa_D54,D54,25,31,1.97,1.803358605071407
Jaksa_D54,D54,25,31,1.975,1.7613002617433464
Jaksa_D54,D54,25,31,1.98,1.749199854809259
Jaksa_D54,D54,25,31,1.985,1.7544036826842861
Jaksa_D54,D54,25,31,1.991,1.7439688053917064
Jaksa_D54,D54,25,31,1.996,1.7457155307266483
Jaksa_D54,D54,25,31,2.001,1.7833912195575383
Jaksa_D54,D54,25,31,2.006,1.7967470107390942
Jaksa_D54,D54,25,31,2.011,1.7967470107390942
Jaksa_D54,D54,25,31,2.016,1.81319474994812
Jaksa_D54,D54,25,31,2.021,1.8341801851120072
Jaksa_D54,D54,25,31,2.026,1.8625285401162623
Jaksa_D54,D54,25,31,2.031,1.8825138324965192
Jaksa_D54,D54,25,31,2.036,1.8961194845522977
Jaksa_D54,D54,25,31,2.041,1.9125010869241836
Jaksa_D54,D54,25,31,2.046,1.9837562915454279
Jaksa_D54,D54,25,31,2.051,1.9080599249242156
Jaksa_D54,D54,25,31,2.056,1.9344157696295783
Jaksa_D54,D54,25,31,2.061,1.916922612182061
Jaksa_D54,D54,25,31,2.066,1.9213246735826988
Jaksa_D54,D54,25,31,2.071,1.9080599249242156
Jaksa_D54,D54,25,31,2.076,1.888583653863595
Jaksa_D54,D54,25,31,2.081,1.8825138324965192
Jaksa_D54,D54,25,31,2.086,1.8671761085128091
Jaksa_D54,D54,25,31,2.091,1.8453002361560848
Jaksa_D54,D54,25,31,2.096,1.827769906751088
Jaksa_D54,D54,25,31,2.101,1.8066480817218056
Jaksa_D54,D54,25,31,2.106,1.7698546338400052
Jaksa_D54,D54,25,31,2.111,1.7263316639055997
Jaksa_D54,D54,25,31,2.116,1.7209792871670078
Jaksa_D54,D54,25,31,2.121,1.6937790608678513
Jaksa_D54,D54,25,31,2.126,1.6882490928583902
Jaksa_D54,D54,25,31,2.131,1.682688374173693
Jaksa_D54,D54,25,31,2.136,1.665818245870208
Jaksa_D54,D54,25,31,2.141,1.6601310267496185
Jaksa_D54,D54,25,31,2.146,1.6351056591826783
Jaksa_D54,D54,25,31,2.151,1.6351056591826783
Jaksa_D54,D54,25,31,2.156,1.62924053973028
Jaksa_D54,D54,25,31,2.161,1.6193882432872684
Jaksa_D54,D54,25,31,2.166,1.6074359097634274
Jaksa_D54,D54,25,31,2.171,1.601405740736836
Jaksa_D54,D54,25,31,2.176,1.601405740736836
Jaksa_D54,D54,25,31,2.182,1.5830939370944985
Jaksa_D54,D54,25,31,2.187,1.623340817603092
Jaksa_D54,D54,25,31,2.192,1.6448050562713916
Jaksa_D54,D54,25,31,2.197,1.6524974018945473
Jaksa_D54,D54,25,31,2.202,1.6714733033535532
Jaksa_D54,D54,25,31,2.207,1.6448050562713916
Jaksa_D54,D54,25,31,2.212,1.6351056591826783
Jaksa_D54,D54,25,31,2.217,1.6114359150967734
Jaksa_D54,D54,25,31,2.222,1.6213664832993742
Jaksa_D54,D54,25,31,2.227,1.5953389880545987
Jaksa_D54,D54,25,31,2.232,1.623340817603092
Jaksa_D54,D54,25,31,2.237,1.5973653311998313
Jaksa_D54,D54,25,31,2.242,1.6174060820832772
Jaksa_D54,D54,25,31,2.247,1.6034198401085373
Jaksa_D54,D54,25,31,2.252,1.62924053973028
Jaksa_D54,D54,25,31,2.257,1.5706970841176697
Jaksa_D54,D54,25,31,2.262,1.601405740736836
Jaksa_D54,D54,25,31,2.267,1.5303947050936475
Jaksa_D54,D54,25,31,2.272,1.5644405465033646
Jaksa_D54,D54,25,31,2.277,1.5325568680981427
Jaksa_D54,D54,25,31,2.282,1.5238800240724537
Jaksa_D54,D54,25,31,2.287,1.4701758451005926
Jaksa_D54,D54,25,31,2.292,1.5195132049061133
Jaksa_D54,D54,25,31,2.297,1.4398351280479205
Jaksa_D54,D54,25,31,2.302,1.4327007339340465
Jaksa_D54,D54,25,31,2.307,1.4134230285081433
Jaksa_D54,D54,25,31,2.312,1.4327007339340465
Jaksa_D54,D54,25,31,2.317,1.3686394258811698
Jaksa_D54,D54,25,31,2.322,1.4011829736136412
Jaksa_D54,D54,25,31,2.327,1.358409157630355
Jaksa_D54,D54,25,31,2.332,1.3912819026309295
Jaksa_D54,D54,25,31,2.337,1.3190856114264407
Jaksa_D54,D54,25,31,2.342,1.3609765531356006
Jaksa_D54,D54,25,31,2.347,1.3270750014599193
Jaksa_D54,D54,25,31,2.352,1.3110318766193438
Jaksa_D54,D54,25,31,2.357,1.308332819650179
Jaksa_D54,D54,25,31,2.362,1.2669476034873244
Jaksa_D54,D54,25,31,2.368,1.2612978709452054
Jaksa_D54,D54,25,31,2.373,1.275362800412609
Jaksa_D54,D54,25,31,2.378,1.247032293786383
Jaksa_D54,D54,25,31,2.383,1.247032293786383
Jaksa_D54,D54,25,31,2.388,1.2383742310432684
Jaksa_D54,D54,25,31,2.393,1.1969481893889715
Jaksa_D54,D54,25,31,2.398,1.1817271953786161
Jaksa_D54,D54,25,31,2.403,1.2237754316221157
Jaksa_D54,D54,25,31,2.408,1.252762968495368
Jaksa_D54,D54,25,31,2.413,1.1939224684724346
Jaksa_D54,D54,25,31,2.418,1.2296405510745139
Jaksa_D54,D54,25,31,2.423,1.1969481893889715
Jaksa_D54,D54,25,31,2.428,1.184789984909162
Jaksa_D54,D54,25,31,2.433,1.144222799920162
Jaksa_D54,D54,25,31,2.438,1.1346227261911428
Jaksa_D54,D54,25,31,2.443,1.1817271953786161
Jaksa_D54,D54,25,31,2.448,1.1755733298042381
Jaksa_D54,D54,25,31,2.453,1.1537315878891892
Jaksa_D54,D54,25,31,2.458,1.1346227261911428
Jaksa_D54,D54,25,31,2.463,1.1019400787607843
Jaksa_D54,D54,25,31,2.468,1.1631508098056809
Jaksa_D54,D54,25,31,2.473,1.144222799920162
Jaksa_D54,D54,25,31,2.478,1.1151415906193203
Jaksa_D54,D54,25,31,2.483,1.1474024528375417
Jaksa_D54,D54,25,31,2.488,1.1249295969854831
Jaksa_D54,D54,25,31,2.493,1.1537315878891892
Jaksa_D54,D54,25,31,2.498,1.0818051703517284
Jaksa_D54,D54,25,31,2.503,1.095273387402595
Jaksa_D54,D54,25,31,2.508,1.1184149159642893
Jaksa_D54,D54,25,31,2.513,1.1118575154181303
Jaksa_D54,D54,25,31,2.518,1.1184149159642893
Jaksa_D54,D54,25,31,2.523,1.1151415906193203
Jaksa_D54,D54,25,31,2.528,1.1019400787607843
Jaksa_D54,D54,25,31,2.533,1.085189268335969
Jaksa_D54,D54,25,31,2.538,1.0438040521731147
Jaksa_D54,D54,25,31,2.543,1.007957920399979
Jaksa_D54,D54,25,31,2.548,1.0508216248317612
Jaksa_D54,D54,25,31,2.553,0.9820784724121582
Jaksa_D54,D54,25,31,2.559,0.9858167945227654
Jaksa_D54,D54,25,31,2.564,0.9858167945227654
Jaksa_D54,D54,25,31,2.569,1.007957920399979
Jaksa_D54,D54,25,31,2.574,0.9555114450274363
Jaksa_D54,D54,25,31,2.579,1.0043016091968684
Jaksa_D54,D54,25,31,2.584,0.9969486348916096
Jaksa_D54,D54,25,31,2.589,0.9969486348916096
Jaksa_D54,D54,25,31,2.594,0.9858167945227654
Jaksa_D54,D54,25,31,2.599,0.9477893989335261
Jaksa_D54,D54,25,31,2.604,1.0152306797290584
Jaksa_D54,D54,25,31,2.609,0.9745596399981308
Jaksa_D54,D54,25,31,2.614,0.9745596399981308
Jaksa_D54,D54,25,31,2.619,0.9969486348916096
Jaksa_D54,D54,25,31,2.624,0.9858167945227654
Jaksa_D54,D54,25,31,2.629,1.0188473201992472
Jaksa_D54,D54,25,31,2.634,1.0188473201992472
Jaksa_D54,D54,25,31,2.639,1.0188473201992472
Jaksa_D54,D54,25,31,2.644,0.9555114450274363
Jaksa_D54,D54,25,31,2.649,1.007957920399979
Jaksa_D54,D54,25,31,2.654,1.007957920399979
Jaksa_D54,D54,25,31,2.659,0.9202827531436925
Jaksa_D54,D54,25,31,2.664,0.9858167945227654
Jaksa_D54,D54,25,31,2.669,0.9631743177730056
Jaksa_D54,D54,25,31,2.674,0.9439058989071284
Jaksa_D54,D54,25,31,2.679,0.9321640810304452
Jaksa_D54,D54,25,31,2.684,0.9321640810304452
